name,product_type,description,monthly_sales
Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 1.,310
USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 2.,144
Full HD Webcam Pro,Electronics,1080p webcam for video conferencing. Pro model – batch 3.,496
Clean Code Book Standard,Book,Best practices for clean and maintainable code. Standard model – batch 4.,324
HDMI Cable Standard,Accessories,High-speed HDMI 2.0 cable. Standard model – batch 5.,295
Python Book Standard,Book,Learn Python from beginner to advanced. Standard model – batch 6.,312
USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 7.,452
Django Book Wireless,Book,Web development with Django. Wireless model – batch 8.,60
Bluetooth Headphones Plus,Electronics,Wireless headphones with noise cancellation. Plus model – batch 9.,111
Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 10.,161
Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 11.,288
Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 12.,343
Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 13.,340
Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 14.,261
Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 15.,152
USB Flash Drive 64GB Pro,Electronics,USB 3.0 flash drive with 64GB capacity. Pro model – batch 16.,139
University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 17.,438
ATX Power Supply 600W Premium,Electronics,600W certified power supply. Premium model – batch 18.,24
Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 19.,61
Blue Pen Premium,Stationery,Blue ballpoint pen. Premium model – batch 20.,237
24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 21.,191
24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 22.,227
USB Mouse Pro,Electronics,Wired USB mouse with high precision. Pro model – batch 23.,302
