id,name,product_type,description,monthly_sales
2,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 2.,144
4,Clean Code Book Standard,Book,Best practices for clean and maintainable code. Standard model – batch 4.,324
6,Python Book Standard,Book,Learn Python from beginner to advanced. Standard model – batch 6.,312
7,USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 7.,452
8,Django Book Wireless,Book,Web development with Django. Wireless model – batch 8.,60
9,Bluetooth Headphones Plus,Electronics,Wireless headphones with noise cancellation. Plus model – batch 9.,111
10,Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 10.,161
11,Full HD Webcam Advanced,Electronics,1080p webcam for video conferencing. Advanced model – batch 11.,288
12,Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 12.,343
13,Blue Pen Pro,Stationery,Blue ballpoint pen. Pro model – batch 13.,340
14,Blue Pen USB-C,Stationery,Blue ballpoint pen. USB-C model – batch 14.,261
15,Laptop Backpack Premium,Accessories,Durable backpack for up to 15-inch laptops. Premium model – batch 15.,152
16,USB Flash Drive 64GB Pro,Electronics,USB 3.0 flash drive with 64GB capacity. Pro model – batch 16.,139
17,University Notebook Compact,Stationery,Notebook with 200 pages. Compact model – batch 17.,438
18,ATX Power Supply 600W Premium,Electronics,600W certified power supply. Premium model – batch 18.,24
19,Algorithms Book USB-C,Book,Introduction to algorithms and programming logic. USB-C model – batch 19.,61
20,Blue Pen Premium,Stationery,Blue ballpoint pen. Premium model – batch 20.,237
21,24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 21.,191
22,24 Inch Monitor Standard,Electronics,Full HD monitor for work and gaming. Standard model – batch 22.,227
23,USB Mouse Pro,Electronics,Wired USB mouse with high precision. Pro model – batch 23.,302
24,Clean Code Book Standard,Book,Best practices for clean and maintainable code. Standard model – batch 24.,220
25,Laptop i5 Standard,Electronics,Laptop with Intel i5 processor and SSD. Standard model – batch 25.,135
26,Multifunction Printer Wireless,Electronics,Printer with scanner and copier. Wireless model – batch 26.,215
27,ATX Power Supply 600W Wireless,Electronics,600W certified power supply. Wireless model – batch 27.,453
28,Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 28.,389
29,USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 29.,483
30,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 30.,492
31,Laptop i5 Premium,Electronics,Laptop with Intel i5 processor and SSD. Premium model – batch 31.,106
32,Python Book Premium,Book,Learn Python from beginner to advanced. Premium model – batch 32.,172
33,Algorithms Book Pro,Book,Introduction to algorithms and programming logic. Pro model – batch 33.,72
34,University Notebook Advanced,Stationery,Notebook with 200 pages. Advanced model – batch 34.,159
35,Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 35.,122
36,Django Book Premium,Book,Web development with Django. Premium model – batch 36.,194
37,Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 37.,425
38,USB Mouse Wireless,Electronics,Wired USB mouse with high precision. Wireless model – batch 38.,124
39,Laptop Backpack Standard,Accessories,Durable backpack for up to 15-inch laptops. Standard model – batch 39.,148
40,Multifunction Printer Advanced,Electronics,Printer with scanner and copier. Advanced model – batch 40.,28
41,USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 41.,21
42,Blue Pen Wireless,Stationery,Blue ballpoint pen. Wireless model – batch 42.,454
43,Laptop Stand Advanced,Accessories,Adjustable ergonomic laptop stand. Advanced model – batch 43.,96
44,24 Inch Monitor Pro,Electronics,Full HD monitor for work and gaming. Pro model – batch 44.,427
45,Laptop Backpack Wireless,Accessories,Durable backpack for up to 15-inch laptops. Wireless model – batch 45.,131
46,Bluetooth Headphones Pro,Electronics,Wireless headphones with noise cancellation. Pro model – batch 46.,285
47,USB Flash Drive 64GB Plus,Electronics,USB 3.0 flash drive with 64GB capacity. Plus model – batch 47.,374
48,Full HD Webcam Pro,Electronics,1080p webcam for video conferencing. Pro model – batch 48.,375
49,Python Book Plus,Book,Learn Python from beginner to advanced. Plus model – batch 49.,9
50,Laptop i5 Advanced,Electronics,Laptop with Intel i5 processor and SSD. Advanced model – batch 50.,285
51,Multifunction Printer Premium,Electronics,Printer with scanner and copier. Premium model – batch 51.,181
52,USB Mouse Standard,Electronics,Wired USB mouse with high precision. Standard model – batch 52.,282
53,Bluetooth Headphones Wireless,Electronics,Wireless headphones with noise cancellation. Wireless model – batch 53.,253
54,Mechanical Keyboard Standard,Electronics,Mechanical keyboard with blue switches. Standard model – batch 54.,364
55,Bluetooth Headphones USB-C,Electronics,Wireless headphones with noise cancellation. USB-C model – batch 55.,188
56,Clean Code Book Pro,Book,Best practices for clean and maintainable code. Pro model – batch 56.,75
57,ATX Power Supply 600W Advanced,Electronics,600W certified power supply. Advanced model – batch 57.,23
58,24 Inch Monitor Plus,Electronics,Full HD monitor for work and gaming. Plus model – batch 58.,43
59,Python Book USB-C,Book,Learn Python from beginner to advanced. USB-C model – batch 59.,410
60,Laptop Stand Standard,Accessories,Adjustable ergonomic laptop stand. Standard model – batch 60.,448
61,Clean Code Book Compact,Book,Best practices for clean and maintainable code. Compact model – batch 61.,369
62,Gaming Mousepad Standard,Accessories,Large mousepad with non-slip base. Standard model – batch 62.,416
63,Full HD Webcam Plus,Electronics,1080p webcam for video conferencing. Plus model – batch 63.,288
64,Bluetooth Headphones Compact,Electronics,Wireless headphones with noise cancellation. Compact model – batch 64.,80
65,Algorithms Book Premium,Book,Introduction to algorithms and programming logic. Premium model – batch 65.,204
